timestamp,metric,value
1776114311,ddos_nodes_under_attack,0
1776114311,ddos_global_defense_active,0
1776114311,ddos_loda_score,0
1776114311,ddos_hst_score,0
1776114313,ddos_unique_ips_current_window,551
1776114313,ddos_ensemble_score,0
1776114313,ddos_anomaly_state,0
1776114313,ddos_nodes_total,1
1776114313,ddos_nodes_under_attack,0
1776114313,ddos_global_defense_active,0
1776114313,ddos_loda_score,0
1776114313,ddos_hst_score,0
1776114315,ddos_unique_ips_current_window,551
1776114315,ddos_ensemble_score,0
1776114315,ddos_anomaly_state,0
1776114315,ddos_nodes_total,1
1776114315,ddos_nodes_under_attack,0
1776114315,ddos_global_defense_active,0
1776114315,ddos_loda_score,0
1776114315,ddos_hst_score,0
1776114317,ddos_unique_ips_current_window,500
1776114317,ddos_ensemble_score,0
1776114317,ddos_anomaly_state,0
1776114317,ddos_nodes_total,1
1776114317,ddos_nodes_under_attack,0
1776114317,ddos_global_defense_active,0
1776114317,ddos_loda_score,0
1776114317,ddos_hst_score,0
1776114319,ddos_unique_ips_current_window,500
1776114319,ddos_ensemble_score,0
1776114319,ddos_anomaly_state,0
1776114319,ddos_nodes_total,1
1776114319,ddos_nodes_under_attack,0
1776114319,ddos_global_defense_active,0
1776114319,ddos_loda_score,0
1776114319,ddos_hst_score,0
1776114322,ddos_unique_ips_current_window,500
1776114322,ddos_ensemble_score,0
1776114322,ddos_anomaly_state,0
1776114322,ddos_nodes_total,1
1776114322,ddos_nodes_under_attack,0
1776114322,ddos_global_defense_active,0
1776114322,ddos_loda_score,0
1776114322,ddos_hst_score,0
1776114324,ddos_unique_ips_current_window,500
1776114324,ddos_ensemble_score,0
1776114324,ddos_anomaly_state,0
1776114324,ddos_nodes_total,1
1776114324,ddos_nodes_under_attack,0
1776114324,ddos_global_defense_active,0
1776114324,ddos_loda_score,0
1776114324,ddos_hst_score,0
